Easting,Northing,Mag_nT
535828.3801577244,4069830.3139141337,-30.324576779312423
535828.3453945488,4069832.508532159,-26.8318358627054
535828.3091975541,4069834.689901503,-23.362718335869843
535828.2703113281,4069836.868273111,-19.91863436494532
535828.2265198682,4069839.037118952,-16.500977097090278
535828.1764177601,4069841.212502085,-13.111121920611028
535828.1200698063,4069843.387270184,-9.750425736132534
535828.0592215733,4069845.5620505214,-6.4202262392373015
535827.9971464992,4069847.745550255,-3.121841214991518
535827.937859759,4069849.920333808,0.1434321552294183
535827.8830051752,4069852.09494038,3.3743179742107907
535827.8333283884,4069854.270185845,6.569562296268237
535827.7885558298,4069856.4480988006,9.727933781126808
535827.7463101232,4069858.632657968,12.848224333930014
535827.7052092305,4069860.824506876,15.929249731006
535827.6641008313,4069863.024244125,18.96985023102736
535827.6215372428,4069865.232514117,21.96889117120985
535827.5766417314,4069867.445596488,24.92526354820502
535827.5290669869,4069869.660632559,27.83788458334949
535827.4789155826,4069871.8742256737,30.705698271944943
535827.4265244693,4069874.0826600655,33.52767591625131
535827.3723056745,4069876.2840317385,36.30281664188625
535827.3161690829,4069878.478880378,39.03014789733372
535827.2586397742,4069880.66800959,41.70872593627459
535827.2016312099,4069882.851172276,44.33763628246357
535827.1475945514,4069885.029876251,46.91599417688525
535827.0992632976,4069887.204401392,49.44294500693626
535827.0590908685,4069889.374630091,51.91766471738717
535827.0295413268,4069891.537989772,54.33936020289257
535827.0080612742,4069893.700084287,56.70726968182673
535826.991384134,4069895.861407328,59.020663051234514
535826.975282459,4069898.024903024,61.278842222697726
535826.9556061844,4069900.194993096,63.48114143893056
535826.9310861258,4069902.371268017,65.62692757092668
535826.9015639639,4069904.555371138,67.71560039549496
535826.8673258949,4069906.747567456,69.74659285303122
535826.8282147006,4069908.9491707417,71.71937128538542
535826.7854287297,4069911.156652271,73.63343565369631
535826.7394570741,4069913.378556452,75.48831973607727
535826.691663484,4069915.5962361,77.28359130504988
535826.6429075826,4069917.808885923,79.01885228463235
535826.5935946053,4069920.031547067,80.69373888700503
535826.5443063485,4069922.253111227,82.30792172868452
535826.4951837721,4069924.480096397,83.86110592615263
535826.4471649022,4069926.690964346,85.35303117089767
535826.3999073822,4069928.8936082255,86.78347178383824
535826.3530857156,4069931.078143384,88.15223674911229
535826.3054449062,4069933.261045474,89.4591697272268
535826.2560648106,4069935.432017673,90.70414904757509
535826.2044344734,4069937.60189274,91.88708768034272
535826.1501649505,4069939.7581296647,93.00793318783369
535826.091985779,4069941.913893611,94.06666765526236
535826.0289202627,4069944.066197453,95.06330760106847
535825.9623232774,4069946.2332705455,95.9979038668246
535825.8944263003,4069948.409187746,96.8705414868186
535825.8272669115,4069950.6032896927,97.68133953740444
535825.7645698463,4069952.797397687,98.4304509662297
535825.7070688239,4069954.99951197,99.11806240145556
535825.6543787781,4069957.206342188,99.74439394110289
535825.6050695477,4069959.406705312,100.30969892266523
535825.5568426986,4069961.61611319,100.81426367314388
535825.5080612085,4069963.8237396586,101.25840723967092
535825.4578287683,4069966.03697892,101.6424811008996
535825.4062536268,4069968.237965218,101.96686885934967
535825.3526712493,4069970.435952017,102.23198591491035
535825.2972054189,4069972.622249012,102.43827911971285
535825.2384439319,4069974.8150348975,102.58622641459584
535825.1758157136,4069977.005510816,102.67633644739875
535825.1084483855,4069979.202751506,102.7091481733288
535825.038580415,4069981.388201113,102.68523043765764
535824.967762133,4069983.572393973,102.605181541015
535824.8978451231,4069985.747535993,102.46962878755676
535824.8294971557,4069987.930943201,102.27922801629514
535824.7632446839,4069990.114225807,102.0346631158886
535824.6992288156,4069992.3044705936,101.73664552320008
535824.6388894902,4069994.482738042,101.38591370593984
535824.5837276739,4069996.6551395855,100.9832326297212
535824.5335445018,4069998.816006539,100.52939320986474
535824.4866871337,4070000.98354614,100.02521174829675
535824.4415922042,4070003.151284169,99.47152935589652
535824.3962910529,4070005.330154576,98.86921136065516
535824.3496764769,4070007.5027224817,98.21914670201838
535824.3010942416,4070009.676899135,97.52224731179238
535824.2513871962,4070011.842663589,96.7794474820007
535824.2028553855,4070014.015079365,95.99170322008868
535824.1581726159,4070016.1858472936,95.15999159187749
535824.1189575782,4070018.363910997,94.28531005267916
535824.0866534131,4070020.533381671,93.36867576699012
535824.0627429162,4070022.7034575534,92.41112491718674
535824.0459037467,4070024.8692233055,91.41371200165491
535824.0352754795,4070027.0458138543,90.37750912279029
535824.0303670608,4070029.223200826,89.30360526531186
535824.0304387269,4070031.4072442674,88.19310556533902
535824.032752902,4070033.579913489,87.04713057068498
535824.0344500794,4070035.747154434,85.86681549282703
535824.0320757573,4070037.898925959,84.65330945101792
535824.0196140271,4070040.054155176,83.40777470900699
535823.9957607688,4070042.2010214417,82.13138590484445
535823.9606112558,4070044.351438712,80.82532927424715
535823.9156953437,4070046.489640187,79.49080186800522
535823.8613978559,4070048.6274588536,78.12901076391593
535823.8011904293,4070050.755685365,76.74117227373137
535823.7360833548,4070052.8950964375,75.32851114561089
535823.667638678,4070055.0382822086,73.89225976257164
535823.5970916108,4070057.194971281,72.43365733743244
535823.5266874224,4070059.3471790506,70.95394910474838
535823.4566966658,4070061.5027024527,69.45438551023513
535823.3874877145,4070063.651488992,67.93622139818363
535823.3190656153,4070065.808532936,66.40071519736614
535823.2525465686,4070067.9643493313,64.84912810593609
535823.1880653384,4070070.126771265,63.28272327582451
535823.1260935664,4070072.278658981,61.70276499713542
535823.066054359,4070074.4296513298,60.11051788304274
535823.0072644977,4070076.574462924,58.5072460556911
535822.9485200428,4070078.7326205247,56.89421233360153
535822.889280436,4070080.8976426176,55.27267742108245
535822.8289029055,4070083.080813404,53.643899100144274
535822.7682718139,4070085.263648369,52.00913142541554
535822.7076762619,4070087.4535728167,50.369623922554496
535822.6482376141,4070089.639614081,48.72662079065
535822.5914456419,4070091.8350477847,47.08136010910108
535822.538558194,4070094.028737445,45.4350730494628
535822.4905385994,4070096.2179383817,43.78898309274227
535822.4471869913,4070098.4103823216,42.14430525262561
535822.4072102795,4070100.588181461,40.502245305112034
535822.3666253234,4070102.7635199744,38.86399902502844
535822.3229781005,4070104.930540508,37.23075142989224
535822.274406325,4070107.1103992127,35.60367603158608
535822.2203936175,4070109.299415208,33.983934096303784
